time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.1000,0.15116620,0.17741188,0.00599394,0.00497508,0.00997500,0.00178076
0.2000,0.29749472,0.34668744,0.01195209,0.00990066,0.01990000,0.00701358
0.3000,0.43481153,0.50401723,0.01784132,0.01477721,0.02977502,0.01546868
0.4000,0.55999286,0.64668515,0.02363322,0.01960522,0.03960005,0.02684567
0.5000,0.67112064,0.77319485,0.02930546,0.02438517,0.04937513,0.04079845
0.6000,0.76743084,0.88319244,0.03484212,0.02911753,0.05910026,0.05696025
0.7000,0.84911637,0.97725014,0.04023335,0.03380277,0.06877548,0.07496570
0.8000,0.91706262,1.05658971,0.04547456,0.03844136,0.07840082,0.09446750
0.9000,0.97258192,1.12281143,0.05056531,0.04303375,0.08797630,0.11514742
1.0000,1.01718844,1.17766865,0.05550824,0.04758040,0.09750198,0.13672207
1.1000,1.05243059,1.22290336,0.06030811,0.05208176,0.10697789,0.15894460
1.2000,1.07978064,1.26014077,0.06497096,0.05653828,0.11640407,0.18160361
1.3000,1.10057183,1.29083229,0.06950350,0.06095041,0.12578059,0.20452031
1.4000,1.11597057,1.31623356,0.07391268,0.06531857,0.13510749,0.22754486
1.5000,1.12697194,1.33740533,0.07820541,0.06964321,0.14438483,0.25055248
1.6000,1.13440919,1.35522767,0.08238833,0.07392476,0.15361268,0.27343969
1.7000,1.13897034,1.37042062,0.08646773,0.07816364,0.16279109,0.29612084
1.8000,1.14121768,1.38356686,0.09044950,0.08236028,0.17192015,0.31852515
1.9000,1.14160717,1.39513388,0.09433909,0.08651509,0.18099992,0.34059410
2.0000,1.14050655,1.40549410,0.09814155,0.09062848,0.19003048,0.36227933
2.1000,1.13821121,1.41494250,0.10186156,0.09470087,0.19901191,0.38354083
2.2000,1.13495790,1.42371153,0.10550340,0.09873267,0.20794429,0.40434557
2.3000,1.13093612,1.43198357,0.10907107,0.10272427,0.21682771,0.42466623
2.4000,1.12629753,1.43990110,0.11256824,0.10667607,0.22566225,0.44448038
2.5000,1.12116358,1.44757493,0.11599835,0.11058848,0.23444801,0.46376963
2.6000,1.11563175,1.45509084,0.11936458,0.11446187,0.24318509,0.48251906
2.7000,1.10978040,1.46251489,0.12266990,0.11829664,0.25187358,0.50071675
2.8000,1.10367281,1.46989762,0.12591711,0.12209316,0.26051359,0.51835335
2.9000,1.09736026,1.47727735,0.12910882,0.12585182,0.26910521,0.53542179
3.0000,1.09088453,1.48468290,0.13224750,0.12957300,0.27764856,0.55191698
3.1000,1.08427984,1.49213556,0.13533548,0.13325706,0.28614373,0.56783567
3.2000,1.07757444,1.49965079,0.13837495,0.13690437,0.29459086,0.58317618
3.3000,1.07079178,1.50723951,0.14136799,0.14051530,0.30299004,0.59793833
3.4000,1.06395150,1.51490904,0.14431659,0.14409021,0.31134140,0.61212326
3.5000,1.05707017,1.52266396,0.14722261,0.14762946,0.31964506,0.62573334
3.6000,1.05016192,1.53050670,0.15008783,0.15113340,0.32790113,0.63877207
3.7000,1.04323886,1.53843801,0.15291396,0.15460237,0.33610975,0.65124399
3.8000,1.03631145,1.54645737,0.15570260,0.15803673,0.34427103,0.66315461
3.9000,1.02938886,1.55456327,0.15845528,0.16143683,0.35238510,0.67451032
4.0000,1.02247910,1.56275346,0.16117347,0.16480299,0.36045211,0.68531834
4.1000,1.01558928,1.57102509,0.16385856,0.16813557,0.36847217,0.69558663
4.2000,1.00872572,1.57937492,0.16651188,0.17143488,0.37644542,0.70532387
4.3000,1.00189408,1.58779937,0.16913467,0.17470127,0.38437200,0.71453936
4.4000,0.99509942,1.59629464,0.17172816,0.17793506,0.39225205,0.72324299
4.5000,0.98834631,1.60485679,0.17429347,0.18113657,0.40008571,0.73144517
4.6000,0.98163888,1.61348175,0.17683170,0.18430612,0.40787312,0.73915680
4.7000,0.97498087,1.62216540,0.17934389,0.18744403,0.41561442,0.74638920
4.8000,0.96837565,1.63090360,0.18183103,0.19055062,0.42330976,0.75315407
4.9000,0.96182627,1.63969220,0.18429404,0.19362619,0.43095928,0.75946342
5.0000,0.95533549,1.64852709,0.18673383,0.19667106,0.43856315,0.76532957
5.1000,0.94890582,1.65740416,0.18915123,0.19968553,0.44612149,0.77076508
5.2000,0.94253948,1.66631939,0.19154707,0.20266990,0.45363448,0.77578268
5.3000,0.93623850,1.67526879,0.19392209,0.20562446,0.46110225,0.78039530
5.4000,0.93000467,1.68424845,0.19627703,0.20854953,0.46852497,0.78461595
5.5000,0.92383959,1.69325454,0.19861259,0.21144538,0.47590280,0.78845775
5.6000,0.91774465,1.70228329,0.20092940,0.21431232,0.48323588,0.79193385
5.7000,0.91172110,1.71133104,0.20322810,0.21715062,0.49052438,0.79505741
5.8000,0.90577000,1.72039419,0.20550927,0.21996057,0.49776846,0.79784158
5.9000,0.89989226,1.72946924,0.20777347,0.22274246,0.50496827,0.80029946
6.0000,0.89408863,1.73855279,0.21002124,0.22549656,0.51212399,0.80244406
6.1000,0.88835976,1.74764151,0.21225306,0.22822315,0.51923578,0.80428829
6.2000,0.88270613,1.75673218,0.21446942,0.23092250,0.52630380,0.80584494
6.3000,0.87712812,1.76582166,0.21667076,0.23359489,0.53332821,0.80712661
6.4000,0.87162600,1.77490692,0.21885752,0.23624057,0.54030919,0.80814578
6.5000,0.86619992,1.78398501,0.22103008,0.23885982,0.54724689,0.80891468
6.6000,0.86084994,1.79305307,0.22318883,0.24145290,0.55414150,0.80944536
6.7000,0.85557603,1.80210835,0.22533413,0.24402007,0.56099318,0.80974963
6.8000,0.85037807,1.81114817,0.22746632,0.24656159,0.56780210,0.80983905
6.9000,0.84525587,1.82016997,0.22958573,0.24907771,0.57456843,0.80972492
7.0000,0.84020914,1.82917124,0.23169264,0.25156868,0.58129234,0.80941829
7.1000,0.83523755,1.83814961,0.23378735,0.25403476,0.58797401,0.80892991
7.2000,0.83034070,1.84710275,0.23587013,0.25647619,0.59461361,0.80827025
7.3000,0.82551811,1.85602846,0.23794123,0.25889322,0.60121132,0.80744947
7.4000,0.82076928,1.86492461,0.24000089,0.26128609,0.60776731,0.80647744
7.5000,0.81609363,1.87378913,0.24204935,0.26365503,0.61428175,0.80536372
7.6000,0.81149055,1.88262009,0.24408680,0.26600030,0.62075483,0.80411756
7.7000,0.80695940,1.89141558,0.24611346,0.26832212,0.62718672,0.80274790
7.8000,0.80249948,1.90017383,0.24812951,0.27062073,0.63357760,0.80126333
7.9000,0.79811006,1.90889311,0.25013514,0.27289635,0.63992764,0.79967218
8.0000,0.79379041,1.91757178,0.25213050,0.27514922,0.64623703,0.79798242
8.1000,0.78953973,1.92620828,0.25411576,0.27737957,0.65250595,0.79620172
8.2000,0.78535723,1.93480112,0.25609107,0.27958761,0.65873457,0.79433744
8.3000,0.78124208,1.94334890,0.25805657,0.28177357,0.66492307,0.79239663
8.4000,0.77719344,1.95185026,0.26001239,0.28393767,0.67107164,0.79038603
8.5000,0.77321044,1.96030395,0.26195865,0.28608012,0.67718045,0.78831209
8.6000,0.76929222,1.96870875,0.26389547,0.28820115,0.68324969,0.78618093
8.7000,0.76543790,1.97706353,0.26582296,0.29030096,0.68927954,0.78399842
8.8000,0.76164658,1.98536723,0.26774123,0.29237977,0.69527018,0.78177013
8.9000,0.75791737,1.99361883,0.26965037,0.29443778,0.70122179,0.77950132
9.0000,0.75424935,2.00181739,0.27155048,0.29647520,0.70713456,0.77719703
9.1000,0.75064163,2.00996202,0.27344163,0.29849224,0.71300867,0.77486198
9.2000,0.74709329,2.01805191,0.27532391,0.30048910,0.71884429,0.77250068
9.3000,0.74360341,2.02608627,0.27719740,0.30246598,0.72464162,0.77011734
9.4000,0.74017110,2.03406440,0.27906217,0.30442308,0.73040084,0.76771597
9.5000,0.73679543,2.04198562,0.28091828,0.30636059,0.73612213,0.76530031
9.6000,0.73347550,2.04984934,0.28276580,0.30827872,0.74180567,0.76287390
9.7000,0.73021041,2.05765498,0.28460480,0.31017765,0.74745165,0.76044003
9.8000,0.72699927,2.06540204,0.28643531,0.31205757,0.75306025,0.75800179
9.9000,0.72384117,2.07309006,0.28825741,0.31391868,0.75863166,0.75556208
10.0000,0.72073524,2.08071859,0.29007113,0.31576116,0.76416605,0.75312357
10.1000,0.71768058,2.08828728,0.29187652,0.31758520,0.76966362,0.75068878
10.2000,0.71467635,2.09579579,0.29367364,0.31939098,0.77512455,0.74826002
10.3000,0.71172166,2.10324381,0.29546251,0.32117868,0.78054901,0.74583944
10.4000,0.70881566,2.11063110,0.29724319,0.32294849,0.78593720,0.74342902
10.5000,0.70595752,2.11795743,0.29901570,0.32470057,0.79128930,0.74103058
10.6000,0.70314639,2.12522261,0.30078009,0.32643512,0.79660549,0.73864580
10.7000,0.70038145,2.13242651,0.30253638,0.32815229,0.80188595,0.73627621
10.8000,0.69766189,2.13956901,0.30428461,0.32985227,0.80713088,0.73392321
10.9000,0.69498690,2.14665001,0.30602480,0.33153523,0.81234044,0.73158805
11.0000,0.69235568,2.15366948,0.30775700,0.33320133,0.81751483,0.72927189
11.1000,0.68976746,2.16062738,0.30948121,0.33485075,0.82265423,0.72697575
11.2000,0.68722147,2.16752371,0.31119748,0.33648365,0.82775882,0.72470056
11.3000,0.68471694,2.17435852,0.31290581,0.33810019,0.83282879,0.72244713
11.4000,0.68225312,2.18113186,0.31460625,0.33970054,0.83786431,0.72021619
11.5000,0.67982929,2.18784381,0.31629880,0.34128486,0.84286558,0.71800836
11.6000,0.67744471,2.19449447,0.31798350,0.34285330,0.84783276,0.71582419
11.7000,0.67509867,2.20108397,0.31966036,0.34440604,0.85276605,0.71366415
11.8000,0.67279047,2.20761247,0.32132940,0.34594322,0.85766562,0.71152863
11.9000,0.67051942,2.21408012,0.32299064,0.34746499,0.86253166,0.70941795
12.0000,0.66828484,2.22048712,0.32464410,0.34897152,0.86736435,0.70733237
12.1000,0.66608606,2.22683368,0.32628979,0.35046296,0.87216386,0.70527208
12.2000,0.66392244,2.23312002,0.32792775,0.35193944,0.87693039,0.70323724
12.3000,0.66179332,2.23934639,0.32955797,0.35340113,0.88166410,0.70122792
12.4000,0.65969807,2.24551303,0.33118049,0.35484818,0.88636519,0.69924417
12.5000,0.65763607,2.25162022,0.33279531,0.35628071,0.89103382,0.69728599
12.6000,0.65560672,2.25766825,0.33440245,0.35769890,0.89567019,0.69535334
12.7000,0.65360940,2.26365741,0.33600193,0.35910286,0.90027446,0.69344614
12.8000,0.65164355,2.26958803,0.33759377,0.36049275,0.90484681,0.69156428
12.9000,0.64970857,2.27546041,0.33917797,0.36186871,0.90938744,0.68970760
13.0000,0.64780390,2.28127490,0.34075455,0.36323088,0.91389650,0.68787595
13.1000,0.64592899,2.28703184,0.34232353,0.36457939,0.91837418,0.68606913
13.2000,0.64408329,2.29273159,0.34388493,0.36591437,0.92282066,0.68428691
13.3000,0.64226627,2.29837451,0.34543875,0.36723598,0.92723612,0.68252907
13.4000,0.64047740,2.30396097,0.34698501,0.36854433,0.93162072,0.68079533
13.5000,0.63871617,2.30949135,0.34852374,0.36983956,0.93597465,0.67908543
13.6000,0.63698207,2.31496605,0.35005493,0.37112180,0.94029807,0.67739909
13.7000,0.63527462,2.32038546,0.35157861,0.37239118,0.94459118,0.67573600
13.8000,0.63359331,2.32574998,0.35309479,0.37364783,0.94885413,0.67409585
13.9000,0.63193768,2.33106001,0.35460349,0.37489188,0.95308711,0.67247832
14.0000,0.63030727,2.33631597,0.35610472,0.37612345,0.95729029,0.67088309
14.1000,0.62870160,2.34151828,0.35759849,0.37734267,0.96146383,0.66930983
14.2000,0.62712025,2.34666736,0.35908482,0.37854965,0.96560792,0.66775821
14.3000,0.62556276,2.35176364,0.36056373,0.37974453,0.96972272,0.66622787
14.4000,0.62402870,2.35680754,0.36203524,0.38092742,0.97380841,0.66471848
14.5000,0.62251766,2.36179950,0.36349934,0.38209844,0.97786516,0.66322969
14.6000,0.62102921,2.36673996,0.36495607,0.38325771,0.98189314,0.66176115
14.7000,0.61956296,2.37162935,0.36640544,0.38440535,0.98589251,0.66031254
14.8000,0.61811851,2.37646812,0.36784746,0.38554147,0.98986345,0.65888348
14.9000,0.61669545,2.38125670,0.36928215,0.38666619,0.99380613,0.65747366
15.0000,0.61529343,2.38599555,0.37070952,0.38777963,0.99772071,0.65608271
15.1000,0.61391205,2.39068511,0.37212960,0.38888189,1.00160736,0.65471032
15.2000,0.61255095,2.39532582,0.37354239,0.38997308,1.00546625,0.65335613
15.3000,0.61120977,2.39991814,0.37494792,0.39105333,1.00929755,0.65201982
15.4000,0.60988816,2.40446251,0.37634620,0.39212273,1.01310142,0.65070107
15.5000,0.60858577,2.40895938,0.37773725,0.39318139,1.01687803,0.64939954
15.6000,0.60730227,2.41340919,0.37912108,0.39422943,1.02062755,0.64811492
15.7000,0.60603732,2.41781241,0.38049772,0.39526695,1.02435013,0.64684690
15.8000,0.60479060,2.42216946,0.38186717,0.39629405,1.02804594,0.64559517
15.9000,0.60356179,2.42648081,0.38322947,0.39731083,1.03171514,0.64435942
16.0000,0.60235057,2.43074689,0.38458462,0.39831741,1.03535790,0.64313936
16.1000,0.60115664,2.43496815,0.38593265,0.39931388,1.03897439,0.64193469
16.2000,0.59997970,2.43914504,0.38727357,0.40030035,1.04256475,0.64074512
16.3000,0.59881945,2.44327800,0.38860740,0.40127690,1.04612915,0.63957039
16.4000,0.59767561,2.44736747,0.38993416,0.40224365,1.04966776,0.63841020
16.5000,0.59654789,2.45141389,0.39125387,0.40320069,1.05318072,0.63726429
16.6000,0.59543602,2.45541769,0.39256655,0.40414812,1.05666821,0.63613240
16.7000,0.59433972,2.45937931,0.39387221,0.40508603,1.06013037,0.63501426
16.8000,0.59325873,2.46329919,0.39517089,0.40601452,1.06356737,0.63390964
16.9000,0.59219279,2.46717776,0.39646259,0.40693368,1.06697937,0.63281827
17.0000,0.59114163,2.47101544,0.39774734,0.40784361,1.07036651,0.63173992
17.1000,0.59010502,2.47481267,0.39902515,0.40874440,1.07372896,0.63067435
17.2000,0.58908270,2.47856986,0.40029605,0.40963613,1.07706687,0.62962134
17.3000,0.58807443,2.48228744,0.40156006,0.41051891,1.08038040,0.62858066
17.4000,0.58707998,2.48596583,0.40281720,0.41139282,1.08366969,0.62755209
17.5000,0.58609911,2.48960544,0.40406749,0.41225794,1.08693491,0.62653542
17.6000,0.58513160,2.49320670,0.40531095,0.41311437,1.09017621,0.62553043
17.7000,0.58417723,2.49677000,0.40654760,0.41396219,1.09339373,0.62453694
17.8000,0.58323577,2.50029576,0.40777746,0.41480150,1.09658763,0.62355473
17.9000,0.58230701,2.50378438,0.40900056,0.41563236,1.09975805,0.62258362
18.0000,0.58139074,2.50723626,0.41021692,0.41645488,1.10290516,0.62162342
18.1000,0.58048676,2.51065180,0.41142655,0.41726913,1.10602910,0.62067394
18.2000,0.57959486,2.51403140,0.41262948,0.41807519,1.10913001,0.61973501
18.3000,0.57871484,2.51737545,0.41382574,0.41887315,1.11220805,0.61880645
18.4000,0.57784652,2.52068434,0.41501534,0.41966308,1.11526336,0.61788810
18.5000,0.57698970,2.52395845,0.41619830,0.42044508,1.11829609,0.61697978
18.6000,0.57614418,2.52719817,0.41737466,0.42121921,1.12130639,0.61608133
18.7000,0.57530980,2.53040388,0.41854443,0.42198556,1.12429440,0.61519261
18.8000,0.57448637,2.53357595,0.41970764,0.42274420,1.12726026,0.61431345
18.9000,0.57367371,2.53671475,0.42086430,0.42349522,1.13020413,0.61344370
19.0000,0.57287165,2.53982065,0.42201445,0.42423868,1.13312613,0.61258323
19.1000,0.57208002,2.54289402,0.42315810,0.42497466,1.13602642,0.61173188
19.2000,0.57129866,2.54593523,0.42429528,0.42570324,1.13890514,0.61088952
19.3000,0.57052739,2.54894462,0.42542601,0.42642449,1.14176243,0.61005602
19.4000,0.56976607,2.55192256,0.42655031,0.42713849,1.14459843,0.60923124
19.5000,0.56901453,2.55486939,0.42766822,0.42784531,1.14741328,0.60841505
19.6000,0.56827261,2.55778547,0.42877975,0.42854502,1.15020712,0.60760733
19.7000,0.56754017,2.56067114,0.42988493,0.42923768,1.15298008,0.60680796
19.8000,0.56681706,2.56352675,0.43098377,0.42992338,1.15573232,0.60601681
19.9000,0.56610313,2.56635262,0.43207632,0.43060218,1.15846395,0.60523377
20.0000,0.56539824,2.56914910,0.43316258,0.43127415,1.16117513,0.60445873
20.1000,0.56470225,2.57191651,0.43424259,0.43193936,1.16386598,0.60369157
20.2000,0.56401502,2.57465519,0.43531637,0.43259787,1.16653664,0.60293219
20.3000,0.56333642,2.57736545,0.43638394,0.43324976,1.16918725,0.60218047
20.4000,0.56266630,2.58004763,0.43744532,0.43389509,1.17181793,0.60143632
20.5000,0.56200455,2.58270203,0.43850055,0.43453392,1.17442883,0.60069964
20.6000,0.56135103,2.58532897,0.43954965,0.43516632,1.17702008,0.59997032
20.7000,0.56070562,2.58792877,0.44059264,0.43579236,1.17959180,0.59924827
20.8000,0.56006819,2.59050172,0.44162955,0.43641209,1.18214413,0.59853339
20.9000,0.55943863,2.59304813,0.44266040,0.43702559,1.18467721,0.59782559
21.0000,0.55881681,2.59556831,0.44368521,0.43763291,1.18719115,0.59712478
21.1000,0.55820262,2.59806255,0.44470402,0.43823412,1.18968608,0.59643087
21.2000,0.55759594,2.60053115,0.44571684,0.43882927,1.19216215,0.59574377
21.3000,0.55699666,2.60297439,0.44672371,0.43941843,1.19461947,0.59506340
21.4000,0.55640467,2.60539257,0.44772465,0.44000166,1.19705817,0.59438968
21.5000,0.55581986,2.60778596,0.44871968,0.44057902,1.19947838,0.59372252
21.6000,0.55524212,2.61015486,0.44970883,0.44115056,1.20188022,0.59306184
21.7000,0.55467135,2.61249953,0.45069212,0.44171635,1.20426383,0.59240757
21.8000,0.55410745,2.61482025,0.45166958,0.44227644,1.20662932,0.59175962
21.9000,0.55355032,2.61711730,0.45264123,0.44283089,1.20897681,0.59111793
22.0000,0.55299985,2.61939094,0.45360711,0.44337975,1.21130644,0.59048241
22.1000,0.55245595,2.62164143,0.45456723,0.44392309,1.21361832,0.58985300
22.2000,0.55191852,2.62386905,0.45552163,0.44446095,1.21591257,0.58922962
22.3000,0.55138747,2.62607405,0.45647032,0.44499339,1.21818933,0.58861220
22.4000,0.55086270,2.62825668,0.45741333,0.44552048,1.22044870,0.58800068
22.5000,0.55034413,2.63041720,0.45835069,0.44604225,1.22269080,0.58739499
22.6000,0.54983167,2.63255586,0.45928242,0.44655876,1.22491576,0.58679505
22.7000,0.54932522,2.63467290,0.46020856,0.44707007,1.22712370,0.58620082
22.8000,0.54882470,2.63676858,0.46112912,0.44757623,1.22931473,0.58561221
22.9000,0.54833003,2.63884313,0.46204413,0.44807728,1.23148897,0.58502918
23.0000,0.54784113,2.64089679,0.46295361,0.44857329,1.23364654,0.58445165
23.1000,0.54735790,2.64292980,0.46385760,0.44906430,1.23578754,0.58387957
23.2000,0.54688028,2.64494239,0.46475612,0.44955036,1.23791211,0.58331287
23.3000,0.54640818,2.64693479,0.46564918,0.45003152,1.24002035,0.58275150
23.4000,0.54594152,2.64890723,0.46653683,0.45050784,1.24211237,0.58219541
23.5000,0.54548023,2.65085993,0.46741908,0.45097935,1.24418829,0.58164452
23.6000,0.54502423,2.65279312,0.46829597,0.45144611,1.24624823,0.58109880
23.7000,0.54457345,2.65470701,0.46916750,0.45190816,1.24829229,0.58055817
23.8000,0.54412782,2.65660182,0.47003372,0.45236555,1.25032058,0.58002260
23.9000,0.54368726,2.65847777,0.47089465,0.45281834,1.25233323,0.57949202
24.0000,0.54325171,2.66033507,0.47175031,0.45326656,1.25433032,0.57896638
24.1000,0.54282109,2.66217392,0.47260073,0.45371026,1.25631199,0.57844563
