time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.0100,1.01511611,0.01790115,0.00059939,0.00049975,0.00099975,0.00001793
0.0200,1.03006234,0.03560289,0.00119756,0.00099900,0.00199900,0.00007145
0.0300,1.04483568,0.05310278,0.00179445,0.00149775,0.00299775,0.00016013
0.0400,1.05943332,0.07039856,0.00239004,0.00199601,0.00399600,0.00028355
0.0500,1.07385261,0.08748817,0.00298431,0.00249376,0.00499375,0.00044128
0.0600,1.08809113,0.10436974,0.00357722,0.00299102,0.00599100,0.00063288
0.0700,1.10214661,0.12104158,0.00416873,0.00348778,0.00698775,0.00085793
0.0800,1.11601698,0.13750218,0.00475883,0.00398404,0.00798400,0.00111596
0.0900,1.12970033,0.15375022,0.00534748,0.00447981,0.00897975,0.00140654
0.1000,1.14319497,0.16978454,0.00593465,0.00497508,0.00997500,0.00172923
0.1100,1.15649934,0.18560418,0.00652033,0.00546986,0.01096975,0.00208356
0.1200,1.16961210,0.20120833,0.00710448,0.00596414,0.01196400,0.00246909
0.1300,1.18253203,0.21659636,0.00768708,0.00645793,0.01295775,0.00288536
0.1400,1.19525813,0.23176779,0.00826811,0.00695123,0.01395100,0.00333191
0.1500,1.20778952,0.24672234,0.00884755,0.00744403,0.01494375,0.00380830
0.1600,1.22012551,0.26145983,0.00942536,0.00793634,0.01593600,0.00431405
0.1700,1.23226555,0.27598027,0.01000154,0.00842815,0.01692775,0.00484871
0.1800,1.24420925,0.29028382,0.01057605,0.00891948,0.01791900,0.00541182
0.1900,1.25595636,0.30437077,0.01114889,0.00941031,0.01890975,0.00600292
0.2000,1.26750679,0.31824154,0.01172004,0.00990066,0.01990000,0.00662155
0.2100,1.27886057,0.33189671,0.01228946,0.01039051,0.02088975,0.00726727
0.2200,1.29001788,0.34533698,0.01285716,0.01087987,0.02187900,0.00793960
0.2300,1.30097902,0.35856317,0.01342311,0.01136875,0.02286776,0.00863809
0.2400,1.31174443,0.37157622,0.01398730,0.01185713,0.02385601,0.00936229
