time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.0100,1.01511611,0.01790115,0.00059939,0.00049975,0.00099925,0.00001793
0.0200,1.03006234,0.03560289,0.00119756,0.00099900,0.00199700,0.00007145
0.0300,1.04483568,0.05310278,0.00179445,0.00149775,0.00299326,0.00016013
0.0400,1.05943332,0.07039856,0.00239004,0.00199601,0.00398802,0.00028355
0.0500,1.07385261,0.08748817,0.00298431,0.00249376,0.00498129,0.00044128
0.0600,1.08809113,0.10436974,0.00357722,0.00299102,0.00597307,0.00063288
0.0700,1.10214661,0.12104158,0.00416873,0.00348778,0.00696336,0.00085793
0.0800,1.11601698,0.13750218,0.00475883,0.00398404,0.00795217,0.00111596
0.0900,1.12970033,0.15375022,0.00534748,0.00447981,0.00893949,0.00140654
0.1000,1.14319497,0.16978454,0.00593465,0.00497508,0.00992533,0.00172923
0.1100,1.15649934,0.18560418,0.00652033,0.00546986,0.01090969,0.00208356
0.1200,1.16961210,0.20120833,0.00710448,0.00596414,0.01189257,0.00246909
0.1300,1.18253203,0.21659636,0.00768708,0.00645793,0.01287398,0.00288536
0.1400,1.19525813,0.23176779,0.00826811,0.00695123,0.01385391,0.00333192
0.1500,1.20778952,0.24672234,0.00884755,0.00744403,0.01483237,0.00380830
0.1600,1.22012551,0.26145983,0.00942536,0.00793634,0.01580936,0.00431406
0.1700,1.23226555,0.27598027,0.01000154,0.00842815,0.01678488,0.00484872
0.1800,1.24420925,0.29028382,0.01057605,0.00891948,0.01775893,0.00541184
0.1900,1.25595636,0.30437077,0.01114889,0.00941031,0.01873152,0.00600295
0.2000,1.26750679,0.31824154,0.01172004,0.00990066,0.01970265,0.00662159
0.2100,1.27886057,0.33189671,0.01228946,0.01039051,0.02067232,0.00726731
0.2200,1.29001788,0.34533698,0.01285716,0.01087987,0.02164053,0.00793966
0.2300,1.30097902,0.35856317,0.01342311,0.01136875,0.02260728,0.00863816
0.2400,1.31174443,0.37157622,0.01398730,0.01185713,0.02357257,0.00936239
0.2500,1.32231465,0.38437719,0.01454971,0.01234503,0.02453642,0.01011187
0.2600,1.33269036,0.39696726,0.01511034,0.01283244,0.02549881,0.01088616
0.2700,1.34287233,0.40934769,0.01566916,0.01331936,0.02645976,0.01168481
0.2800,1.35286147,0.42151988,0.01622616,0.01380580,0.02741925,0.01250739
0.2900,1.36265875,0.43348529,0.01678134,0.01429174,0.02837731,0.01335344
0.3000,1.37226527,0.44524548,0.01733468,0.01477721,0.02933392,0.01422253
0.3100,1.38168220,0.45680211,0.01788618,0.01526219,0.03028908,0.01511421
0.3200,1.39091083,0.46815692,0.01843582,0.01574668,0.03124281,0.01602807
0.3300,1.39995250,0.47931171,0.01898360,0.01623069,0.03219511,0.01696366
0.3400,1.40880866,0.49026837,0.01952951,0.01671421,0.03314596,0.01792056
0.3500,1.41748081,0.50102885,0.02007354,0.01719725,0.03409539,0.01889836
0.3600,1.42597053,0.51159517,0.02061569,0.01767981,0.03504338,0.01989662
0.3700,1.43427947,0.52196941,0.02115594,0.01816188,0.03598994,0.02091494
0.3800,1.44240935,0.53215369,0.02169430,0.01864348,0.03693507,0.02195291
0.3900,1.45036192,0.54215020,0.02223076,0.01912459,0.03787878,0.02301012
0.4000,1.45813902,0.55196116,0.02276532,0.01960522,0.03882107,0.02408616
0.4100,1.46574250,0.56158884,0.02329797,0.02008537,0.03976193,0.02518065
0.4200,1.47317430,0.57103557,0.02382872,0.02056504,0.04070137,0.02629319
0.4300,1.48043638,0.58030368,0.02435755,0.02104423,0.04163940,0.02742339
0.4400,1.48753072,0.58939554,0.02488447,0.02152294,0.04257601,0.02857087
0.4500,1.49445938,0.59831357,0.02540947,0.02200117,0.04351120,0.02973525
0.4600,1.50122441,0.60706020,0.02593256,0.02247893,0.04444498,0.03091615
0.4700,1.50782791,0.61563787,0.02645374,0.02295620,0.04537735,0.03211321
0.4800,1.51427201,0.62404906,0.02697300,0.02343300,0.04630832,0.03332607
0.4900,1.52055884,0.63229624,0.02749035,0.02390933,0.04723787,0.03455436
0.5000,1.52669056,0.64038192,0.02800578,0.02438517,0.04816602,0.03579773
0.5100,1.53266937,0.64830861,0.02851931,0.02486054,0.04909277,0.03705583
0.5200,1.53849744,0.65607880,0.02903093,0.02533544,0.05001812,0.03832833
0.5300,1.54417699,0.66369503,0.02954064,0.02580986,0.05094206,0.03961487
0.5400,1.54971022,0.67115980,0.03004845,0.02628380,0.05186461,0.04091513
0.5500,1.55509936,0.67847563,0.03055436,0.02675727,0.05278577,0.04222877
0.5600,1.56034661,0.68564505,0.03105837,0.02723027,0.05370553,0.04355549
0.5700,1.56545422,0.69267054,0.03156050,0.02770280,0.05462389,0.04489495
0.5800,1.57042439,0.69955463,0.03206073,0.02817485,0.05554087,0.04624684
0.5900,1.57525935,0.70629979,0.03255908,0.02864643,0.05645646,0.04761086
0.6000,1.57996132,0.71290851,0.03305556,0.02911754,0.05737067,0.04898670
0.6100,1.58453249,0.71938326,0.03355016,0.02958817,0.05828349,0.05037406
0.6200,1.58897509,0.72572649,0.03404290,0.03005834,0.05919492,0.05177265
0.6300,1.59329128,0.73194064,0.03453377,0.03052804,0.06010498,0.05318219
0.6400,1.59748326,0.73802812,0.03502279,0.03099726,0.06101366,0.05460239
0.6500,1.60155318,0.74399134,0.03550996,0.03146602,0.06192096,0.05603297
0.6600,1.60550321,0.74983268,0.03599528,0.03193431,0.06282688,0.05747366
0.6700,1.60933548,0.75555449,0.03647877,0.03240213,0.06373143,0.05892418
0.6800,1.61305212,0.76115913,0.03696044,0.03286948,0.06463461,0.06038429
0.6900,1.61665522,0.76664889,0.03744028,0.03333637,0.06553643,0.06185371
0.7000,1.62014686,0.77202608,0.03791830,0.03380278,0.06643687,0.06333220
0.7100,1.62352913,0.77729295,0.03839452,0.03426874,0.06733595,0.06481949
0.7200,1.62680406,0.78245175,0.03886894,0.03473422,0.06823366,0.06631536
0.7300,1.62997367,0.78750468,0.03934157,0.03519924,0.06913001,0.06781956
0.7400,1.63303997,0.79245394,0.03981241,0.03566380,0.07002500,0.06933185
0.7500,1.63600494,0.79730168,0.04028148,0.03612788,0.07091863,0.07085200
0.7600,1.63887053,0.80205003,0.04074878,0.03659151,0.07181091,0.07237978
0.7700,1.64163868,0.80670109,0.04121432,0.03705467,0.07270182,0.07391497
0.7800,1.64431129,0.81125694,0.04167812,0.03751737,0.07359139,0.07545736
0.7900,1.64689025,0.81571961,0.04214017,0.03797961,0.07447961,0.07700673
0.8000,1.64937741,0.82009112,0.04260049,0.03844138,0.07536647,0.07856287
0.8100,1.65177462,0.82437344,0.04305908,0.03890269,0.07625199,0.08012557
0.8200,1.65408367,0.82856854,0.04351596,0.03936354,0.07713616,0.08169464
0.8300,1.65630636,0.83267833,0.04397113,0.03982393,0.07801899,0.08326986
0.8400,1.65844442,0.83670470,0.04442461,0.04028386,0.07890047,0.08485106
0.8500,1.66049960,0.84064952,0.04487640,0.04074333,0.07978062,0.08643804
0.8600,1.66247359,0.84451461,0.04532651,0.04120234,0.08065942,0.08803062
0.8700,1.66436807,0.84830177,0.04577495,0.04166088,0.08153689,0.08962860
0.8800,1.66618468,0.85201278,0.04622173,0.04211898,0.08241303,0.09123182
0.8900,1.66792506,0.85564936,0.04666686,0.04257661,0.08328783,0.09284010
0.9000,1.66959080,0.85921323,0.04711034,0.04303378,0.08416130,0.09445327
0.9100,1.67118346,0.86270606,0.04755220,0.04349050,0.08503344,0.09607116
0.9200,1.67270458,0.86612950,0.04799243,0.04394676,0.08590425,0.09769360
0.9300,1.67415569,0.86948517,0.04843105,0.04440256,0.08677373,0.09932044
0.9400,1.67553827,0.87277465,0.04886807,0.04485791,0.08764189,0.10095151
0.9500,1.67685379,0.87599949,0.04930349,0.04531280,0.08850873,0.10258667
0.9600,1.67810367,0.87916124,0.04973733,0.04576724,0.08937425,0.10422575
0.9700,1.67928934,0.88226137,0.05016959,0.04622123,0.09023844,0.10586862
