time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.0100,0.01519916,0.01798120,0.00059999,0.00049975,0.00099975,0.00001798
0.0200,0.03039325,0.03592160,0.00119995,0.00099900,0.00199900,0.00007187
0.0300,0.04557726,0.05381642,0.00179984,0.00149775,0.00299775,0.00016156
0.0400,0.06074616,0.07166094,0.00239961,0.00199601,0.00399600,0.00028693
0.0500,0.07589497,0.08945045,0.00299924,0.00249376,0.00499375,0.00044786
0.0600,0.09101876,0.10718030,0.00359869,0.00299102,0.00599100,0.00064421
0.0700,0.10611262,0.12484592,0.00419792,0.00348778,0.00698775,0.00087583
0.0800,0.12117173,0.14244274,0.00479689,0.00398404,0.00798400,0.00114257
0.0900,0.13619127,0.15996631,0.00539558,0.00447981,0.00897975,0.00144427
0.1000,0.15116653,0.17741221,0.00599394,0.00497508,0.00997500,0.00178075
0.1100,0.16609284,0.19477611,0.00659194,0.00546986,0.01096975,0.00215183
0.1200,0.18096560,0.21205376,0.00718955,0.00596414,0.01196400,0.00255731
0.1300,0.19578029,0.22924099,0.00778673,0.00645793,0.01295775,0.00299699
0.1400,0.21053248,0.24633369,0.00838344,0.00695123,0.01395100,0.00347066
0.1500,0.22521780,0.26332789,0.00897966,0.00744403,0.01494375,0.00397810
0.1600,0.23983200,0.28021968,0.00957534,0.00793634,0.01593600,0.00451909
0.1700,0.25437089,0.29700525,0.01017046,0.00842815,0.01692775,0.00509337
0.1800,0.26883040,0.31368090,0.01076498,0.00891948,0.01791900,0.00570072
0.1900,0.28320655,0.33024303,0.01135887,0.00941031,0.01890975,0.00634088
0.2000,0.29749546,0.34668816,0.01195210,0.00990066,0.01990000,0.00701359
0.2100,0.31169337,0.36301291,0.01254463,0.01039051,0.02088975,0.00771858
0.2200,0.32579660,0.37921400,0.01313644,0.01087987,0.02187900,0.00845557
0.2300,0.33980162,0.39528830,0.01372750,0.01136875,0.02286776,0.00922429
0.2400,0.35370498,0.41123277,0.01431777,0.01185713,0.02385601,0.01002445
0.2500,0.36750337,0.42704448,0.01490723,0.01234503,0.02484376,0.01085575
0.2600,0.38119358,0.44272067,0.01549585,0.01283244,0.02583101,0.01171790
0.2700,0.39477253,0.45825864,0.01608359,0.01331936,0.02681776,0.01261058
0.2800,0.40823726,0.47365586,0.01667043,0.01380580,0.02780401,0.01353348
0.2900,0.42158493,0.48890990,0.01725635,0.01429174,0.02878976,0.01448629
0.3000,0.43481281,0.50401847,0.01784132,0.01477721,0.02977502,0.01546869
0.3100,0.44791833,0.51897939,0.01842531,0.01526218,0.03075977,0.01648034
0.3200,0.46089901,0.53379061,0.01900830,0.01574668,0.03174402,0.01752091
0.3300,0.47375249,0.54845022,0.01959025,0.01623069,0.03272777,0.01859008
0.3400,0.48647658,0.56295642,0.02017116,0.01671421,0.03371103,0.01968749
0.3500,0.49906916,0.57730754,0.02075099,0.01719725,0.03469378,0.02081281
0.3600,0.51152826,0.59150203,0.02132972,0.01767981,0.03567603,0.02196569
0.3700,0.52385205,0.60553846,0.02190733,0.01816188,0.03665779,0.02314576
0.3800,0.53603878,0.61941554,0.02248380,0.01864348,0.03763904,0.02435270
0.3900,0.54808686,0.63313208,0.02305910,0.01912459,0.03861980,0.02558612
0.4000,0.55999480,0.64668703,0.02363323,0.01960522,0.03960005,0.02684568
0.4100,0.57176124,0.66007943,0.02420615,0.02008537,0.04057981,0.02813102
0.4200,0.58338493,0.67330847,0.02477785,0.02056504,0.04155906,0.02944177
0.4300,0.59486473,0.68637344,0.02534831,0.02104423,0.04253782,0.03077756
0.4400,0.60619964,0.69927372,0.02591752,0.02152294,0.04351608,0.03213803
0.4500,0.61738876,0.71200885,0.02648545,0.02200117,0.04449383,0.03352282
0.4600,0.62843127,0.72457844,0.02705210,0.02247893,0.04547109,0.03493154
0.4700,0.63932651,0.73698221,0.02761743,0.02295620,0.04644785,0.03636384
0.4800,0.65007390,0.74921999,0.02818145,0.02343300,0.04742411,0.03781934
0.4900,0.66067296,0.76129173,0.02874414,0.02390932,0.04839987,0.03929766
0.5000,0.67112332,0.77319745,0.02930547,0.02438517,0.04937513,0.04079845
0.5100,0.68142470,0.78493727,0.02986545,0.02486054,0.05034989,0.04232133
0.5200,0.69157694,0.79651143,0.03042405,0.02533543,0.05132415,0.04386593
0.5300,0.70157995,0.80792023,0.03098127,0.02580985,0.05229791,0.04543187
0.5400,0.71143374,0.81916407,0.03153709,0.02628380,0.05327117,0.04701879
0.5500,0.72113840,0.83024344,0.03209150,0.02675727,0.05424393,0.04862632
0.5600,0.73069413,0.84115890,0.03264450,0.02723027,0.05521620,0.05025408
0.5700,0.74010120,0.85191110,0.03319607,0.02770279,0.05618796,0.05190173
0.5800,0.74935994,0.86250077,0.03374620,0.02817484,0.05715923,0.05356888
0.5900,0.75847079,0.87292871,0.03429489,0.02864642,0.05812999,0.05525517
0.6000,0.76743425,0.88319577,0.03484213,0.02911753,0.05910026,0.05696025
0.6100,0.77625089,0.89330290,0.03538791,0.02958817,0.06007003,0.05868375
0.6200,0.78492136,0.90325109,0.03593223,0.03005833,0.06103930,0.06042531
0.6300,0.79344636,0.91304141,0.03647507,0.03052803,0.06200807,0.06218457
0.6400,0.80182666,0.92267499,0.03701644,0.03099725,0.06297634,0.06396119
0.6500,0.81006310,0.93215298,0.03755633,0.03146601,0.06394411,0.06575480
0.6600,0.81815657,0.94147664,0.03809472,0.03193430,0.06491138,0.06756506
0.6700,0.82610802,0.95064723,0.03863163,0.03240212,0.06587815,0.06939163
0.6800,0.83391844,0.95966608,0.03916704,0.03286947,0.06684443,0.07123415
0.6900,0.84158888,0.96853458,0.03970096,0.03333635,0.06781020,0.07309228
0.7000,0.84912045,0.97725413,0.04023337,0.03380277,0.06877548,0.07496569
0.7100,0.85651427,0.98582619,0.04076428,0.03426872,0.06974026,0.07685404
0.7200,0.86377153,0.99425225,0.04129368,0.03473421,0.07070454,0.07875699
0.7300,0.87089345,1.00253384,0.04182157,0.03519922,0.07166832,0.08067422
0.7400,0.87788130,1.01067252,0.04234796,0.03566378,0.07263160,0.08260540
0.7500,0.88473635,1.01866988,0.04287284,0.03612787,0.07359438,0.08455020
0.7600,0.89145995,1.02652754,0.04339620,0.03659149,0.07455667,0.08650831
0.7700,0.89805344,1.03424712,0.04391806,0.03705465,0.07551845,0.08847940
0.7800,0.90451821,1.04183030,0.04443841,0.03751735,0.07647974,0.09046317
0.7900,0.91085566,1.04927877,0.04495725,0.03797958,0.07744053,0.09245930
0.8000,0.91706723,1.05659421,0.04547458,0.03844136,0.07840082,0.09446748
0.8100,0.92315437,1.06377835,0.04599040,0.03890267,0.07936061,0.09648742
0.8200,0.92911854,1.07083293,0.04650472,0.03936352,0.08031990,0.09851881
0.8300,0.93496125,1.07775969,0.04701753,0.03982390,0.08127870,0.10056135
0.8400,0.94068399,1.08456037,0.04752884,0.04028383,0.08223699,0.10261476
0.8500,0.94628828,1.09123676,0.04803865,0.04074330,0.08319479,0.10467874
0.8600,0.95177566,1.09779061,0.04854697,0.04120230,0.08415209,0.10675301
0.8700,0.95714765,1.10422370,0.04905379,0.04166085,0.08510889,0.10883729
0.8800,0.96240582,1.11053782,0.04955912,0.04211894,0.08606519,0.11093129
0.8900,0.96755171,1.11673475,0.05006297,0.04257657,0.08702100,0.11303475
0.9000,0.97258688,1.12281626,0.05056533,0.04303375,0.08797630,0.11514740
0.9100,0.97751290,1.12878414,0.05106621,0.04349046,0.08893111,0.11726896
0.9200,0.98233134,1.13464017,0.05156561,0.04394672,0.08988542,0.11939917
0.9300,0.98704376,1.14038612,0.05206355,0.04440252,0.09083923,0.12153778
0.9400,0.99165172,1.14602377,0.05256001,0.04485787,0.09179255,0.12368453
0.9500,0.99615681,1.15155488,0.05305502,0.04531276,0.09274537,0.12583916
0.9600,1.00056057,1.15698121,0.05354856,0.04576720,0.09369768,0.12800143
0.9700,1.00486458,1.16230452,0.05404065,0.04622118,0.09464950,0.13017110
0.9800,1.00907038,1.16752653,0.05453130,0.04667470,0.09560083,0.13234791
0.9900,1.01317952,1.17264899,0.05502050,0.04712778,0.09655165,0.13453164
1.0000,1.01719355,1.17767362,0.05550827,0.04758040,0.09750198,0.13672205
1.0100,1.02111401,1.18260212,0.05599460,0.04803256,0.09845181,0.13891891
1.0200,1.02494241,1.18743619,0.05647951,0.04848428,0.09940114,0.14112199
1.0300,1.02868028,1.19217752,0.05696299,0.04893554,0.10034998,0.14333107
1.0400,1.03232913,1.19682777,0.05744507,0.04938635,0.10129831,0.14554593
1.0500,1.03589044,1.20138860,0.05792573,0.04983671,0.10224615,0.14776635
1.0600,1.03936572,1.20586166,0.05840499,0.05028662,0.10319349,0.14999213
1.0700,1.04275643,1.21024855,0.05888286,0.05073608,0.10414034,0.15222304
1.0800,1.04606403,1.21455090,0.05935933,0.05118509,0.10508668,0.15445889
1.0900,1.04928997,1.21877028,0.05983442,0.05163365,0.10603253,0.15669948
1.1000,1.05243569,1.22290829,0.06030814,0.05208176,0.10697789,0.15894460
