time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
6.7000,0.99515151,1.56715507,0.19812329,0.24403573,0.41554913,0.75731104
6.8000,0.98594448,1.57938198,0.20017318,0.24657776,0.41892141,0.76277731
6.9000,0.97692766,1.59157997,0.20221906,0.24909439,0.42223488,0.76812380
7.0000,0.96809832,1.60374516,0.20426098,0.25158588,0.42549039,0.77335460
7.1000,0.95945363,1.61587382,0.20629900,0.25405248,0.42868877,0.77847367
7.2000,0.95099070,1.62796235,0.20833314,0.25649443,0.43183082,0.78348487
7.3000,0.94270655,1.64000727,0.21036340,0.25891198,0.43491735,0.78839193
7.4000,0.93459815,1.65200523,0.21238980,0.26130538,0.43794916,0.79319848
7.5000,0.92666243,1.66395302,0.21441233,0.26367486,0.44092701,0.79790802
7.6000,0.91889627,1.67584756,0.21643098,0.26602065,0.44385170,0.80252394
7.7000,0.91129654,1.68768588,0.21844571,0.26834301,0.44672397,0.80704952
7.8000,0.90386007,1.69946517,0.22045649,0.27064215,0.44954459,0.81148794
7.9000,0.89658370,1.71118273,0.22246329,0.27291831,0.45231429,0.81584225
8.0000,0.88946425,1.72283600,0.22446605,0.27517171,0.45503381,0.82011540
8.1000,0.88249855,1.73442252,0.22646473,0.27740259,0.45770387,0.82431023
8.2000,0.87568344,1.74594000,0.22845928,0.27961117,0.46032518,0.82842949
8.3000,0.86901576,1.75738623,0.23044962,0.28179767,0.46289846,0.83247582
8.4000,0.86249239,1.76875914,0.23243569,0.28396230,0.46542438,0.83645176
8.5000,0.85611022,1.78005678,0.23441743,0.28610529,0.46790365,0.84035976
8.6000,0.84986617,1.79127732,0.23639477,0.28822686,0.47033694,0.84420217
8.7000,0.84375720,1.80241904,0.23836763,0.29032720,0.47272491,0.84798124
8.8000,0.83778030,1.81348032,0.24033593,0.29240654,0.47506823,0.85169916
8.9000,0.83193250,1.82445966,0.24229960,0.29446508,0.47736755,0.85535801
9.0000,0.82621086,1.83535567,0.24425856,0.29650304,0.47962351,0.85895980
9.1000,0.82061250,1.84616706,0.24621272,0.29852061,0.48183675,0.86250645
9.2000,0.81513457,1.85689264,0.24816202,0.30051799,0.48400788,0.86599980
9.3000,0.80977428,1.86753132,0.25010636,0.30249540,0.48613753,0.86944163
9.4000,0.80452889,1.87808209,0.25204567,0.30445302,0.48822631,0.87283364
9.5000,0.79939568,1.88854406,0.25397987,0.30639106,0.49027482,0.87617746
9.6000,0.79437203,1.89891639,0.25590887,0.30830970,0.49228366,0.87947465
9.7000,0.78945532,1.90919837,0.25783259,0.31020915,0.49425340,0.88272671
9.8000,0.78464301,1.91938934,0.25975095,0.31208958,0.49618462,0.88593509
9.9000,0.77993262,1.92948873,0.26166388,0.31395120,0.49807791,0.88910115
10.0000,0.77532169,1.93949605,0.26357129,0.31579419,0.49993381,0.89222623
10.1000,0.77080785,1.94941088,0.26547310,0.31761873,0.50175289,0.89531158
10.2000,0.76638875,1.95923286,0.26736925,0.31942501,0.50353569,0.89835842
10.3000,0.76206212,1.96896172,0.26925965,0.32121321,0.50528275,0.90136791
10.4000,0.75782571,1.97859724,0.27114422,0.32298351,0.50699461,0.90434118
10.5000,0.75367735,1.98813928,0.27302291,0.32473609,0.50867180,0.90727928
10.6000,0.74961491,1.99758772,0.27489562,0.32647112,0.51031483,0.91018326
10.7000,0.74563630,2.00694254,0.27676230,0.32818877,0.51192421,0.91305408
10.8000,0.74173951,2.01620375,0.27862287,0.32988923,0.51350045,0.91589270
10.9000,0.73792254,2.02537142,0.28047727,0.33157266,0.51504406,0.91870001
11.0000,0.73418347,2.03444567,0.28232543,0.33323924,0.51655552,0.92147690
11.1000,0.73052042,2.04342667,0.28416729,0.33488912,0.51803532,0.92422418
11.2000,0.72693153,2.05231461,0.28600278,0.33652248,0.51948393,0.92694267
11.3000,0.72341503,2.06110976,0.28783184,0.33813947,0.52090184,0.92963314
11.4000,0.71996917,2.06981241,0.28965442,0.33974027,0.52228951,0.93229631
11.5000,0.71659224,2.07842288,0.29147045,0.34132504,0.52364739,0.93493290
11.6000,0.71328259,2.08694155,0.29327988,0.34289393,0.52497594,0.93754359
11.7000,0.71003859,2.09536880,0.29508266,0.34444710,0.52627562,0.94012904
11.8000,0.70685869,2.10370507,0.29687874,0.34598471,0.52754686,0.94268988
11.9000,0.70374133,2.11195082,0.29866805,0.34750691,0.52879010,0.94522671
12.0000,0.70068503,2.12010654,0.30045056,0.34901387,0.53000576,0.94774012
12.1000,0.69768834,2.12817275,0.30222622,0.35050572,0.53119428,0.95023067
12.2000,0.69474983,2.13614998,0.30399497,0.35198262,0.53235608,0.95269891
12.3000,0.69186813,2.14403880,0.30575678,0.35344471,0.53349155,0.95514535
12.4000,0.68904189,2.15183979,0.30751161,0.35489216,0.53460113,0.95757049
12.5000,0.68626980,2.15955356,0.30925941,0.35632509,0.53568519,0.95997483
12.6000,0.68355059,2.16718073,0.31100014,0.35774366,0.53674415,0.96235884
12.7000,0.68088302,2.17472195,0.31273377,0.35914801,0.53777839,0.96472296
12.8000,0.67826588,2.18217786,0.31446026,0.36053829,0.53878830,0.96706763
12.9000,0.67569800,2.18954915,0.31617958,0.36191462,0.53977426,0.96939327
13.0000,0.67317822,2.19683650,0.31789169,0.36327715,0.54073665,0.97170030
13.1000,0.67070544,2.20404060,0.31959656,0.36462603,0.54167583,0.97398910
13.2000,0.66827857,2.21116216,0.32129417,0.36596137,0.54259218,0.97626006
13.3000,0.66589655,2.21820191,0.32298448,0.36728333,0.54348604,0.97851356
13.4000,0.66355835,2.22516057,0.32466746,0.36859202,0.54435779,0.98074994
13.5000,0.66126297,2.23203887,0.32634310,0.36988760,0.54520776,0.98296955
13.6000,0.65900944,2.23883757,0.32801137,0.37117017,0.54603630,0.98517274
13.7000,0.65679680,2.24555741,0.32967224,0.37243989,0.54684376,0.98735982
13.8000,0.65462412,2.25219916,0.33132570,0.37369686,0.54763047,0.98953112
13.9000,0.65249052,2.25876356,0.33297172,0.37494123,0.54839677,0.99168694
14.0000,0.65039510,2.26525139,0.33461029,0.37617311,0.54914298,0.99382758
14.1000,0.64833701,2.27166341,0.33624138,0.37739263,0.54986942,0.99595334
14.2000,0.64631543,2.27800040,0.33786499,0.37859992,0.55057641,0.99806448
14.3000,0.64432954,2.28426313,0.33948110,0.37979509,0.55126427,1.00016129
14.4000,0.64237854,2.29045237,0.34108970,0.38097827,0.55193331,1.00224403
14.5000,0.64046168,2.29656890,0.34269076,0.38214958,0.55258383,1.00431297
14.6000,0.63857820,2.30261350,0.34428429,0.38330913,0.55321613,1.00636835
14.7000,0.63672737,2.30858694,0.34587027,0.38445704,0.55383051,1.00841042
14.8000,0.63490848,2.31449000,0.34744869,0.38559343,0.55442727,1.01043941
14.9000,0.63312083,2.32032345,0.34901955,0.38671841,0.55500669,1.01245558
15.0000,0.63136375,2.32608807,0.35058283,0.38783210,0.55556905,1.01445913
15.1000,0.62963658,2.33178462,0.35213854,0.38893462,0.55611464,1.01645029
15.2000,0.62793869,2.33741387,0.35368667,0.39002606,0.55664374,1.01842927
15.3000,0.62626943,2.34297660,0.35522721,0.39110654,0.55715662,1.02039630
15.4000,0.62462821,2.34847355,0.35676016,0.39217618,0.55765354,1.02235156
