time,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.1000,1.14319358,0.16978314,0.00593465,0.00497508,0.00997500,0.00172926
0.2000,1.26750389,0.31823862,0.01172003,0.00990066,0.01990000,0.00662163
0.3000,1.37226090,0.44524109,0.01733467,0.01477721,0.02977502,0.01422236
0.4000,1.45813341,0.55195553,0.02276530,0.01960522,0.03960005,0.02408522
0.5000,1.52668404,0.64037539,0.02800576,0.02438517,0.04937513,0.03579473
0.6000,1.57995425,0.71290145,0.03305553,0.02911754,0.05910026,0.04897938
0.7000,1.62013960,0.77201886,0.03791827,0.03380278,0.06877548,0.06331696
0.8000,1.64937027,0.82008404,0.04260046,0.03844138,0.07840082,0.07853447
0.9000,1.66958399,0.85920654,0.04711032,0.04303378,0.08797630,0.09440448
1.0000,1.68246843,0.89120055,0.05145700,0.04758045,0.09750198,0.11073986
1.1000,1.68944917,0.91758170,0.05565001,0.05208183,0.10697789,0.12738786
1.2000,1.69170436,0.93958942,0.05969882,0.05653838,0.11640408,0.14422438
1.3000,1.69019261,0.95822122,0.06361261,0.06095054,0.12578059,0.16114884
1.4000,1.68568529,0.97427028,0.06740018,0.06531874,0.13510749,0.17807969
1.5000,1.67879848,0.98836161,0.07106979,0.06964343,0.14438484,0.19495066
1.6000,1.67002189,1.00098418,0.07462921,0.07392503,0.15361269,0.21170775
1.7000,1.65974384,1.01251850,0.07808572,0.07816397,0.16279111,0.22830673
1.8000,1.64827212,1.02325932,0.08144608,0.08236067,0.17192017,0.24471117
1.9000,1.63585092,1.03343415,0.08471659,0.08651555,0.18099994,0.26089097
2.0000,1.62267455,1.04321802,0.08790315,0.09062903,0.19003051,0.27682106
2.1000,1.60889823,1.05274516,0.09101124,0.09470151,0.19901194,0.29248050
2.2000,1.59464666,1.06211817,0.09404596,0.09873341,0.20794433,0.30785172
2.3000,1.58002071,1.07141517,0.09701212,0.10272512,0.21682775,0.32291996
2.4000,1.56510255,1.08069536,0.09991417,0.10667704,0.22566230,0.33767282
2.5000,1.54995978,1.09000333,0.10275630,0.11058958,0.23444808,0.35209988
2.6000,1.53464852,1.09937241,0.10554243,0.11446311,0.24318517,0.36619244
2.7000,1.51921581,1.10882718,0.10827625,0.11829803,0.25187367,0.37994333
2.8000,1.50370155,1.11838553,0.11096118,0.12209471,0.26051369,0.39334667
2.9000,1.48813987,1.12806011,0.11360048,0.12585355,0.26910532,0.40639780
3.0000,1.47256031,1.13785957,0.11619717,0.12957491,0.27764869,0.41909313
3.1000,1.45698866,1.14778942,0.11875409,0.13325916,0.28614389,0.43143004
3.2000,1.44144762,1.15785274,0.12127393,0.13690668,0.29459103,0.44340683
3.3000,1.42595736,1.16805074,0.12375918,0.14051783,0.30299024,0.45502261
3.4000,1.41053588,1.17838316,0.12621220,0.14409297,0.31134162,0.46627728
3.5000,1.39519937,1.18884858,0.12863518,0.14763245,0.31964530,0.47717147
3.6000,1.37996240,1.19944468,0.13103020,0.15113664,0.32790141,0.48770646
3.7000,1.36483818,1.21016845,0.13339917,0.15460588,0.33611005,0.49788418
3.8000,1.34983869,1.22101631,0.13574392,0.15804051,0.34427136,0.50770714
3.9000,1.33497478,1.23198423,0.13806613,0.16144089,0.35238548,0.51717840
4.0000,1.32025632,1.24306785,0.14036738,0.16480735,0.36045252,0.52630153
4.1000,1.30569223,1.25426254,0.14264914,0.16814023,0.36847262,0.53508058
4.2000,1.29129062,1.26556343,0.14491279,0.17143986,0.37644591,0.54352003
4.3000,1.27705875,1.27696549,0.14715961,0.17470657,0.38437254,0.55162478
4.4000,1.26300320,1.28846358,0.14939077,0.17794069,0.39225264,0.55940009
4.5000,1.24912979,1.30005242,0.15160740,0.18114255,0.40008635,0.56685158
4.6000,1.23544374,1.31172667,0.15381052,0.18431245,0.40787381,0.57398515
4.7000,1.22194961,1.32348095,0.15600107,0.18745073,0.41561517,0.58080700
4.8000,1.20865139,1.33530982,0.15817993,0.19055770,0.42331057,0.58732359
4.9000,1.19555250,1.34720783,0.16034793,0.19363365,0.43096016,0.59354157
5.0000,1.18265587,1.35916952,0.16250579,0.19667891,0.43856409,0.59946781
5.1000,1.16996388,1.37118945,0.16465422,0.19969378,0.44612251,0.60510933
5.2000,1.15747849,1.38326218,0.16679384,0.20267856,0.45363557,0.61047330
5.3000,1.14520117,1.39538230,0.16892523,0.20563355,0.46110342,0.61556699
5.4000,1.13313302,1.40754446,0.17104892,0.20855904,0.46852622,0.62039778
5.5000,1.12127470,1.41974333,0.17316540,0.21145533,0.47590413,0.62497310
5.6000,1.10962652,1.43197366,0.17527510,0.21432271,0.48323730,0.62930046
5.7000,1.09818846,1.44423023,0.17737842,0.21716146,0.49052589,0.63338734
5.8000,1.08696015,1.45650793,0.17947571,0.21997187,0.49777007,0.63724129
5.9000,1.07594093,1.46880171,0.18156731,0.22275422,0.50496998,0.64086979
6.0000,1.06512986,1.48110660,0.18365349,0.22550879,0.51212580,0.64428034
6.1000,1.05452572,1.49341772,0.18573451,0.22823585,0.51923770,0.64748036
6.2000,1.04412709,1.50573029,0.18781061,0.23093568,0.52630582,0.65047722
6.3000,1.03393230,1.51803964,0.18988198,0.23360855,0.53333035,0.65327822
6.4000,1.02393947,1.53034120,0.19194879,0.23625473,0.54031144,0.65589057
6.5000,1.01414657,1.54263051,0.19401119,0.23887448,0.54724927,0.65832138
6.6000,1.00455137,1.55490320,0.19606933,0.24146806,0.55414400,0.66057766
6.7000,0.99515151,1.56715507,0.19812329,0.24403573,0.56099581,0.66266628
6.8000,0.98594448,1.57938198,0.20017318,0.24657776,0.56780486,0.66459401
6.9000,0.97692766,1.59157997,0.20221906,0.24909439,0.57457132,0.66636744
7.0000,0.96809832,1.60374516,0.20426098,0.25158588,0.58129538,0.66799307
7.1000,0.95945363,1.61587382,0.20629900,0.25405248,0.58797719,0.66947722
7.2000,0.95099070,1.62796235,0.20833314,0.25649443,0.59461694,0.67082605
7.3000,0.94270655,1.64000727,0.21036340,0.25891198,0.60121480,0.67204559
7.4000,0.93459815,1.65200523,0.21238980,0.26130538,0.60777094,0.67314168
7.5000,0.92666243,1.66395302,0.21441233,0.26367486,0.61428555,0.67412001
7.6000,0.91889627,1.67584756,0.21643098,0.26602065,0.62075879,0.67498611
7.7000,0.91129654,1.68768588,0.21844571,0.26834301,0.62719084,0.67574531
7.8000,0.90386007,1.69946517,0.22045649,0.27064215,0.63358189,0.67640281
7.9000,0.89658370,1.71118273,0.22246329,0.27291831,0.63993211,0.67696361
8.0000,0.88946425,1.72283600,0.22446605,0.27517171,0.64624167,0.67743256
8.1000,0.88249855,1.73442252,0.22646473,0.27740259,0.65251077,0.67781433
8.2000,0.87568344,1.74594000,0.22845928,0.27961117,0.65873957,0.67811343
8.3000,0.86901576,1.75738623,0.23044962,0.28179767,0.66492826,0.67833419
8.4000,0.86249239,1.76875914,0.23243569,0.28396230,0.67107702,0.67848079
8.5000,0.85611022,1.78005678,0.23441743,0.28610529,0.67718603,0.67855725
8.6000,0.84986617,1.79127732,0.23639477,0.28822686,0.68325547,0.67856742
8.7000,0.84375720,1.80241904,0.23836763,0.29032720,0.68928552,0.67851499
8.8000,0.83778030,1.81348032,0.24033593,0.29240654,0.69527636,0.67840351
8.9000,0.83193250,1.82445966,0.24229960,0.29446508,0.70122818,0.67823636
9.0000,0.82621086,1.83535567,0.24425856,0.29650304,0.70714116,0.67801680
9.1000,0.82061250,1.84616706,0.24621272,0.29852061,0.71301548,0.67774793
9.2000,0.81513457,1.85689264,0.24816202,0.30051799,0.71885132,0.67743270
9.3000,0.80977428,1.86753132,0.25010636,0.30249540,0.72464887,0.67707395
9.4000,0.80452889,1.87808209,0.25204567,0.30445302,0.73040831,0.67667437
9.5000,0.79939568,1.88854406,0.25397987,0.30639106,0.73612983,0.67623652
9.6000,0.79437203,1.89891639,0.25590887,0.30830970,0.74181360,0.67576285
9.7000,0.78945532,1.90919837,0.25783259,0.31020915,0.74745981,0.67525569
9.8000,0.78464301,1.91938934,0.25975095,0.31208958,0.75306865,0.67471724
9.9000,0.77993262,1.92948873,0.26166388,0.31395120,0.75864029,0.67414960
10.0000,0.77532169,1.93949605,0.26357129,0.31579419,0.76417493,0.67355475
10.1000,0.77080785,1.94941088,0.26547310,0.31761873,0.76967274,0.67293459
10.2000,0.76638875,1.95923286,0.26736925,0.31942501,0.77513391,0.67229090
10.3000,0.76206212,1.96896172,0.26925965,0.32121321,0.78055862,0.67162538
10.4000,0.75782571,1.97859724,0.27114422,0.32298351,0.78594706,0.67093962
10.5000,0.75367735,1.98813928,0.27302291,0.32473609,0.79129941,0.67023514
10.6000,0.74961491,1.99758772,0.27489562,0.32647112,0.79661586,0.66951336
10.7000,0.74563630,2.00694254,0.27676230,0.32818877,0.80189658,0.66877565
10.8000,0.74173951,2.01620375,0.27862287,0.32988923,0.80714176,0.66802327
10.9000,0.73792254,2.02537142,0.28047727,0.33157266,0.81235159,0.66725743
11.0000,0.73418347,2.03444567,0.28232543,0.33323924,0.81752624,0.66647925
11.1000,0.73052042,2.04342667,0.28416729,0.33488912,0.82266591,0.66568981
11.2000,0.72693153,2.05231461,0.28600278,0.33652248,0.82777077,0.66489010
11.3000,0.72341503,2.06110976,0.28783184,0.33813947,0.83284100,0.66408107
11.4000,0.71996917,2.06981241,0.28965442,0.33974027,0.83787680,0.66326361
11.5000,0.71659224,2.07842288,0.29147045,0.34132504,0.84287833,0.66243855
11.6000,0.71328259,2.08694155,0.29327988,0.34289393,0.84784579,0.66160668
