t,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
90.0000,0.499173,2.864130,0.597281,0.496985,1.496348,0.521971
91.0000,0.499160,2.864202,0.597352,0.496989,1.496409,0.521964
92.0000,0.499147,2.864269,0.597418,0.496993,1.496464,0.521957
93.0000,0.499135,2.864331,0.597478,0.496997,1.496515,0.521950
94.0000,0.499124,2.864388,0.597535,0.497000,1.496561,0.521945
95.0000,0.499114,2.864441,0.597587,0.497003,1.496603,0.521940
96.0000,0.499105,2.864489,0.597635,0.497005,1.496641,0.521936
97.0000,0.499096,2.864534,0.597680,0.497008,1.496676,0.521932
98.0000,0.499088,2.864576,0.597721,0.497010,1.496708,0.521928
99.0000,0.499081,2.864614,0.597760,0.497012,1.496736,0.521925
100.0000,0.499074,2.864649,0.597795,0.497013,1.496763,0.521923
