t,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
0.0000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0000,1.682475,0.891207,0.051457,0.047580,0.092823,0.110819
2.0000,1.622676,1.043219,0.087903,0.090629,0.172507,0.278364
3.0000,1.472561,1.137860,0.116197,0.129575,0.240712,0.426559
4.0000,1.320256,1.243068,0.140367,0.164807,0.298901,0.546945
5.0000,1.182656,1.359169,0.162506,0.196679,0.348360,0.641588
6.0000,1.065130,1.481106,0.183653,0.225509,0.390224,0.715327
7.0000,0.968098,1.603745,0.204261,0.251586,0.425490,0.773355
8.0000,0.889464,1.722836,0.224466,0.275172,0.455034,0.820115
9.0000,0.826211,1.835356,0.244259,0.296503,0.479624,0.858960
10.0000,0.775322,1.939496,0.263571,0.315794,0.499934,0.892226
11.0000,0.734183,2.034446,0.282325,0.333239,0.516556,0.921477
12.0000,0.700685,2.120106,0.300451,0.349014,0.530006,0.947740
13.0000,0.673178,2.196836,0.317892,0.363277,0.540737,0.971700
14.0000,0.650395,2.265251,0.334610,0.376173,0.549143,0.993828
15.0000,0.631364,2.326088,0.350583,0.387832,0.555569,1.014459
16.0000,0.615337,2.380116,0.365799,0.398372,0.560315,1.033847
17.0000,0.601739,2.428086,0.380257,0.407900,0.563641,1.052187
18.0000,0.590118,2.470700,0.393966,0.416513,0.565773,1.069631
19.0000,0.580123,2.508594,0.406940,0.424297,0.566909,1.086303
20.0000,0.571474,2.542343,0.419198,0.431333,0.567217,1.102298
21.0000,0.563949,2.572449,0.430762,0.437692,0.566845,1.117693
22.0000,0.557367,2.599359,0.441658,0.443438,0.565917,1.132544
23.0000,0.551584,2.623458,0.451913,0.448631,0.564543,1.146898
24.0000,0.546481,2.645085,0.461555,0.453323,0.562815,1.160785
25.0000,0.541960,2.664530,0.470612,0.457563,0.560812,1.174230
26.0000,0.537940,2.682050,0.479113,0.461394,0.558603,1.187247
27.0000,0.534355,2.697864,0.487086,0.464855,0.556243,1.199849
28.0000,0.531147,2.712165,0.494558,0.467981,0.553781,1.212040
29.0000,0.528269,2.725119,0.501558,0.470806,0.551257,1.223825
30.0000,0.525681,2.736872,0.508112,0.473357,0.548705,1.235206
31.0000,0.523348,2.747552,0.514244,0.475662,0.546153,1.246184
