t,y_hif,y_o2,y_p300,y_p53,y_casp,y_kp
32.0000,0.521241,2.757270,0.519979,0.477743,0.543624,1.256759
33.0000,0.519335,2.766124,0.525341,0.479623,0.541135,1.266931
34.0000,0.517606,2.774200,0.530351,0.481321,0.538702,1.276702
35.0000,0.516037,2.781575,0.535032,0.482854,0.536337,1.286074
36.0000,0.514611,2.788317,0.539403,0.484238,0.534048,1.295050
37.0000,0.513312,2.794485,0.543483,0.485488,0.531841,1.303632
38.0000,0.512129,2.800133,0.547290,0.486617,0.529723,1.311826
39.0000,0.511049,2.805308,0.550842,0.487636,0.527695,1.319638
40.0000,0.510063,2.810055,0.554155,0.488556,0.525760,1.327075
41.0000,0.509162,2.814410,0.557244,0.489386,0.523918,1.334144
42.0000,0.508338,2.818409,0.560123,0.490136,0.522168,1.340854
43.0000,0.507583,2.822082,0.562807,0.490813,0.520510,1.347214
44.0000,0.506892,2.825458,0.565307,0.491423,0.518941,1.353235
45.0000,0.506259,2.828562,0.567635,0.491974,0.517461,1.358928
46.0000,0.505678,2.831417,0.569804,0.492472,0.516065,1.364302
47.0000,0.505145,2.834044,0.571822,0.492920,0.514751,1.369372
48.0000,0.504656,2.836462,0.573702,0.493325,0.513517,1.374146
49.0000,0.504206,2.838688,0.575451,0.493691,0.512358,1.378639
50.0000,0.503794,2.840738,0.577078,0.494020,0.511272,1.382862
51.0000,0.503414,2.842627,0.578592,0.494318,0.510254,1.386827
52.0000,0.503066,2.844367,0.580000,0.494586,0.509302,1.390546
53.0000,0.502745,2.845970,0.581309,0.494828,0.508413,1.394031
54.0000,0.502450,2.847448,0.582527,0.495046,0.507583,1.397294
55.0000,0.502178,2.848811,0.583658,0.495242,0.506808,1.400346
56.0000,0.501929,2.850067,0.584710,0.495420,0.506086,1.403198
57.0000,0.501699,2.851225,0.585688,0.495580,0.505413,1.405862
58.0000,0.501487,2.852294,0.586596,0.495724,0.504787,1.408348
59.0000,0.501292,2.853279,0.587439,0.495854,0.504205,1.410666
60.0000,0.501113,2.854188,0.588223,0.495971,0.503664,1.412825
61.0000,0.500947,2.855026,0.588951,0.496077,0.503161,1.414836
62.0000,0.500795,2.855800,0.589627,0.496172,0.502695,1.416708
63.0000,0.500655,2.856514,0.590254,0.496257,0.502262,1.418448
64.0000,0.500525,2.857173,0.590837,0.496335,0.501861,1.420066
65.0000,0.500406,2.857780,0.591377,0.496404,0.501488,1.421568
66.0000,0.500296,2.858341,0.591879,0.496467,0.501144,1.422963
67.0000,0.500195,2.858859,0.592344,0.496523,0.500825,1.424258
68.0000,0.500102,2.859337,0.592776,0.496574,0.500529,1.425459
69.0000,0.500016,2.859778,0.593177,0.496620,0.500256,1.426572
70.0000,0.499936,2.860185,0.593549,0.496661,0.500003,1.427603
71.0000,0.499863,2.860560,0.593893,0.496698,0.499769,1.428559
72.0000,0.499796,2.860907,0.594213,0.496732,0.499553,1.429443
73.0000,0.499734,2.861227,0.594510,0.496762,0.499354,1.430262
74.0000,0.499676,2.861523,0.594784,0.496789,0.499170,1.431020
75.0000,0.499623,2.861795,0.595039,0.496813,0.499000,1.431720
76.0000,0.499575,2.862047,0.595275,0.496835,0.498843,1.432368
77.0000,0.499530,2.862280,0.595494,0.496855,0.498698,1.432967
78.0000,0.499488,2.862494,0.595697,0.496872,0.498564,1.433520
79.0000,0.499450,2.862692,0.595885,0.496888,0.498441,1.434031
80.0000,0.499415,2.862875,0.596059,0.496903,0.498328,1.434503
81.0000,0.499382,2.863044,0.596221,0.496915,0.498223,1.434938
82.0000,0.499352,2.863200,0.596370,0.496927,0.498127,1.435340
83.0000,0.499324,2.863344,0.596509,0.496937,0.498038,1.435711
84.0000,0.499299,2.863477,0.596637,0.496947,0.497956,1.436054
85.0000,0.499275,2.863599,0.596756,0.496955,0.497881,1.436369
86.0000,0.499253,2.863712,0.596866,0.496963,0.497811,1.436660
87.0000,0.499233,2.863817,0.596968,0.496969,0.497748,1.436928
88.0000,0.499215,2.863913,0.597062,0.496975,0.497689,1.437176
89.0000,0.499198,2.864003,0.597150,0.496981,0.497635,1.437404
90.0000,0.499182,2.864085,0.597231,0.496986,0.497585,1.437614
91.0000,0.499167,2.864161,0.597306,0.496990,0.497540,1.437807
92.0000,0.499154,2.864231,0.597375,0.496994,0.497498,1.437985
93.0000,0.499142,2.864296,0.597439,0.496998,0.497459,1.438149
94.0000,0.499130,2.864355,0.597499,0.497001,0.497424,1.438300
95.0000,0.499120,2.864410,0.597554,0.497003,0.497391,1.438439
96.0000,0.499110,2.864461,0.597604,0.497006,0.497361,1.438568
97.0000,0.499101,2.864508,0.597652,0.497008,0.497333,1.438685
98.0000,0.499093,2.864552,0.597695,0.497010,0.497308,1.438794
99.0000,0.499085,2.864592,0.597735,0.497012,0.497285,1.438894
100.0000,0.499078,2.864629,0.597773,0.497014,0.497264,1.438985
